"Id";"Oznaczenie";"Footprint";"Liczba";"Oznaczenie";"Dostawca i numer artykułu";
1;"C12,C13";"C_0402_1005Metric";2;"16p/X5R/16V";;;
2;"C3,C20,C2,C19,C10";"C_0402_1005Metric";5;"100n/X5R/16V";;;
3;"R9,R10";"R_0402_1005Metric";2;"470R/5%/0.063W";;;
4;"Y1";"Oscillator_SMD_Abracon_ASCO-4Pin_1.6x1.2mm";1;"NX1612SA-50M-EXS00A-CS08403";;;
5;"R4";"R_0402_1005Metric";1;"0R";;;
6;"LED1";"LSGT676P7Q71N7P724";1;"LSG_T676-P7Q7-1+N7P7-24";;;
7;"R5,R1,R3,R6,R8,R2,R7";"R_0402_1005Metric";7;"10k/5%/0.063W";;;
8;"C1,C6,C8,C9,C16,C5";"C_0402_1005Metric";6;"470n/X5R/16V";;;
9;"C7";"C_0402_1005Metric";1;"470P/X5R/16V";;;
10;"J1";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x07";;;
11;"IC3";"BALFSPI201D3";1;"BALF-SPI2-01D3";;;
12;"L3";"L_0402_1005Metric";1;"XXX";;;
13;"C14,C15";"C_0402_1005Metric";2;"4u7/X5R/16V";;;
14;"IC1";"SON50P300X200X60-9N";1;"AT25DF021A-MAHN-T";;;
15;"IC4";"SON50P300X200X75-9N";1;"MB85RS64TPN-G-AMEWE1";;;
16;"C4,C17";"C_0402_1005Metric";2;"100p/X5R/16V";;;
17;"C18,C11";"C_0402_1005Metric";2;"XXX/X5R/16V";;;
18;"AE1";"Texas_SWRA416_868MHz_915MHz";1;"Antenna";;;
19;"L1";"L_0402_1005Metric";1;"LQG15HS12NJD2D";;;
20;"U1";"QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm";1;"STM32G081KBUx";;;
21;"L2";"L_0805_2012Metric";1;"LQG21FN100N00L";;;
22;"IC2";"QFN50P400X400X100-25N-D";1;"S2-LPQTR";;;
23;"J2";"Conn_1x7_SMD";1;"Conn_01x07_Pin";;;
